CPU: Intel Haswell microarchitecture, speed 2700 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 90000
samples  cum. samples  %        cum. %     linenr info                 image name               symbol name
-------------------------------------------------------------------------------
  1        1              0.0021   0.0021    (no location information)   libjvm.so                ServiceUtil::visible_oop(oopDesc*)
  1        2              0.0021   0.0043    (no location information)   libjvm.so                IdealLoopTree::policy_range_check(PhaseIdealLoop*) const
  1        3              0.0021   0.0064    (no location information)   libjvm.so                PhaseIdealLoop::loop_predication_impl(IdealLoopTree*)
  1        4              0.0021   0.0085    (no location information)   libjvm.so                PhaseLive::compute(unsigned int)
  1        5              0.0021   0.0107    (no location information)   libjvm.so                SpinPause
  1        6              0.0021   0.0128    (no location information)   libjvm.so                LinkResolver::lookup_method_in_klasses(methodHandle&, KlassHandle, Symbol*, Symbol*, bool, bool, Thread*)
  1        7              0.0021   0.0149    (no location information)   libjvm.so                PhaseCFG::call_catch_cleanup(Block*)
  1        8              0.0021   0.0170    (no location information)   libjvm.so                klassVtable::update_inherited_vtable(InstanceKlass*, methodHandle, int, int, bool, Thread*)
  1        9              0.0021   0.0192    (no location information)   libjvm.so                klassVtable::compute_vtable_size_and_num_mirandas(int*, int*, GrowableArray<Method*>*, Klass*, Array<Method*>*, AccessFlags, Handle, Symbol*, Array<Klass*>*, Thread*)
  1        10             0.0021   0.0213    (no location information)   libjvm.so                PhaseIdealLoop::do_range_check(IdealLoopTree*, Node_List&)
  1        11             0.0021   0.0234    (no location information)   libjvm.so                jvmti_Deallocate
  1        12             0.0021   0.0256    (no location information)   libjvm.so                JNIHandles::make_local(JNIEnv_*, oopDesc*)
  1        13             0.0021   0.0277    (no location information)   libjvm.so                JNIHandleBlock::allocate_handle(oopDesc*)
  1        14             0.0021   0.0298    (no location information)   libjvm.so                java_lang_Class::protection_domain(oopDesc*)
  1        15             0.0021   0.0320    (no location information)   libjvm.so                OverflowTaskQueue<StarTask, (unsigned short)256, 131072u>::push(StarTask)
  1        16             0.0021   0.0341    (no location information)   libjvm.so                IndexSet::initialize(unsigned int, Arena*)
  1        17             0.0021   0.0362    (no location information)   libjvm.so                IndexSetIterator::IndexSetIterator(IndexSet*)
  1        18             0.0021   0.0383    (no location information)   libjvm.so                MethodData::profile_return()
  1        19             0.0021   0.0405    (no location information)   libjvm.so                Node::rematerialize() const
  1        20             0.0021   0.0426    (no location information)   libjvm.so                Node::grow(unsigned int)
  1        21             0.0021   0.0447    (no location information)   libjvm.so                Node::hash() const
  1        22             0.0021   0.0469    (no location information)   libjvm.so                nmethodLocker::lock_nmethod(nmethod*, bool)
  1        23             0.0021   0.0490    (no location information)   libjvm.so                Monitor::wait(bool, long, bool)
  1        24             0.0021   0.0511    (no location information)   libjvm.so                Monitor::unlock()
  1        25             0.0021   0.0533    (no location information)   libjvm.so                Monitor::ILock(Thread*)
  1        26             0.0021   0.0554    (no location information)   libjvm.so                MethodLiveness::BasicBlock::BasicBlock(MethodLiveness*, int, int)
  1        27             0.0021   0.0575    (no location information)   libjvm.so                PhaseIFG::remove_node(unsigned int)
  1        28             0.0021   0.0597    (no location information)   libjvm.so                Method::compute_has_loops_flag()
  1        29             0.0021   0.0618    (no location information)   libjvm.so                SpaceManager::allocate_work(unsigned long)
  1        30             0.0021   0.0639    (no location information)   libjvm.so                MergeMemNode::make(Compile*, Node*)
  1        31             0.0021   0.0660    (no location information)   libjvm.so                PhaseIdealLoop::split_if_with_blocks_post(Node*)
  1        32             0.0021   0.0682    (no location information)   libjvm.so                PhaseIdealLoop::has_node(Node*) const
  1        33             0.0021   0.0703    (no location information)   libjvm.so                IdealLoopTree::is_member(IdealLoopTree const*) const
  1        34             0.0021   0.0724    (no location information)   libjvm.so                IdealLoopTree::iteration_split(PhaseIdealLoop*, Node_List&)
  1        35             0.0021   0.0746    (no location information)   libjvm.so                ciMethodData::bci_to_data(int, ciMethod*)
  1        36             0.0021   0.0767    (no location information)   libjvm.so                PhiNode::Opcode() const
  1        37             0.0021   0.0788    (no location information)   libjvm.so                MemBarReleaseLockNode::Opcode() const
  1        38             0.0021   0.0810    (no location information)   libjvm.so                IfFalseNode::Opcode() const
  1        39             0.0021   0.0831    (no location information)   libjvm.so                IfNode::Opcode() const
  1        40             0.0021   0.0852    (no location information)   libjvm.so                ciTypeFlow::flow_types()
  1        41             0.0021   0.0873    (no location information)   libjvm.so                ciTypeFlow::df_flow_types(ciTypeFlow::Block*, bool, ciTypeFlow::StateVector*, ciTypeFlow::JsrSet*)
  1        42             0.0021   0.0895    (no location information)   libjvm.so                ciExceptionHandlerStream::count()
  1        43             0.0021   0.0916    (no location information)   libjvm.so                CounterData::cell_count() const
  1        44             0.0021   0.0937    (no location information)   libjvm.so                ParmNode::is_CFG() const
  1        45             0.0021   0.0959    (no location information)   libjvm.so                ThreadInVMfromNative::~ThreadInVMfromNative()
  1        46             0.0021   0.0980    (no location information)   libjvm.so                ciEnv::get_klass_by_index(constantPoolHandle, int, bool&, ciInstanceKlass*)
  1        47             0.0021   0.1001    (no location information)   libjvm.so                ResourceMark::reset_to_mark()
  1        48             0.0021   0.1023    (no location information)   libjvm.so                PhaseChaitin::Register_Allocate()
  1        49             0.0021   0.1044    (no location information)   libjvm.so                PhaseChaitin::stretch_base_pointer_live_ranges(ResourceArea*)
  1        50             0.0021   0.1065    (no location information)   libjvm.so                CProjNode::is_CFG() const
  1        51             0.0021   0.1087    (no location information)   libjvm.so                PhiNode::make_blank(Node*, Node*)
  1        52             0.0021   0.1108    (no location information)   libjvm.so                Unique_Node_List::remove(Node*)
  1        53             0.0021   0.1129    (no location information)   libjvm.so                PhaseConservativeCoalesce::update_ifg(unsigned int, unsigned int, IndexSet*, IndexSet*)
  1        54             0.0021   0.1150    (no location information)   libjvm.so                PhaseConservativeCoalesce::coalesce(Block*)
  1        55             0.0021   0.1172    (no location information)   libjvm.so                Compile::find_alias_type(TypePtr const*, bool, ciField*)
  1        56             0.0021   0.1193    (no location information)   libjvm.so                Compile::inline_incrementally(PhaseIterGVN&)
  1        57             0.0021   0.1214    (no location information)   libjvm.so                ConstantPool::klass_at_if_loaded(constantPoolHandle, int)
  1        58             0.0021   0.1236    (no location information)   libjvm.so                DefaultMethods::generate_default_methods(InstanceKlass*, GrowableArray<Method*>*, Thread*)
  1        59             0.0021   0.1257    (no location information)   libjvm.so                DictI::operator++()
  1        60             0.0021   0.1278    (no location information)   libjvm.so                Dict::doubhash()
  1        61             0.0021   0.1300    (no location information)   libjvm.so                NTarjan::COMPRESS()
  1        62             0.0021   0.1321    (no location information)   libjvm.so                ConnectionGraph::ConnectionGraph(Compile*, PhaseIterGVN*)
  1        63             0.0021   0.1342    (no location information)   libjvm.so                ConnectionGraph::compute_escape()
  1        64             0.0021   0.1364    (no location information)   libjvm.so                MemoryPool::max_size() const
  1        65             0.0021   0.1385    (no location information)   libjvm.so                PhaseCFG::insert_anti_dependences(Block*, Node*, bool)
  1        66             0.0021   0.1406    (no location information)   libjvm.so                PhaseCFG::global_code_motion()
  1        67             0.0021   0.1427    (no location information)   libjvm.so                GenericGrowableArray::raw_allocate(int)
